Year of Project Year,Subsystem 1 - Technology Mid-Type,Country (group),Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Sub-Type (group),Country,Subsystem 1 - Technology Sub-Type,Rated Power (kW),Storage Capacity (kWh)
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,32000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,11900
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,800,4400
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3300,6600
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1600,3800
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,3900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3300,6700
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2200,4700
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2300,4600
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3300,3000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4500,20200
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3300,6900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,20500
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,5400
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2200,4800
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3300,6900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2300,4900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,8000
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,8400
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,4100
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,19800,2000
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6000,2000
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,19800,19800
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,19800,19800
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,1000
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,800,1500
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6000,4600
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,300
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,7600
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4000,16000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,5000
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,8000
2012,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,800,2300
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,10000
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,2000
2012,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,6000
2020,Flow battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,20000
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,90000,4000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9000,36000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6000,24000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,40000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,40000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,35000,140000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100000,200000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,52000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,6000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,12000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100000,400000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100000,400000
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,3900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10400,9900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,2000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,10000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,9900
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,9900
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,9900
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,9900
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,9900
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,9900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,9900
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,16500
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,17900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100000,200000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,4500
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,8800,8800
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,7500,12500
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30000,1300
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1100,4000
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2200
2013,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,9900
2013,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4000,800
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,10000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2200,8800
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,2100
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,60000,242000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,13700,31500
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100000,110000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,9900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100000,110000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,9900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,9900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,50000,50000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,5000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,11000,44000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100000,125000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,19800
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,9900,19800
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,7500,15000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30000,2500
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,4000
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,360000
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,3800
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,40000,80000
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,900
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,4000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,400,400
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,200,200
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,300,300
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,10000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2300,4900
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3500,6700
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,4500
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3100,6300
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,4900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,4900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2500,3800
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,9000
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1900,1900
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6000,12000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,12000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,3000
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,3300
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,3000
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4000,16000
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,538600
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2000
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,409000,4000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,40000
2012,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,2000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,3400
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1100,1000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,12000
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,42000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,4000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2000
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,4200
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6200,6200
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,7000,5000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1900,1900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,4000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,400,1000
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3100,2000
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2000
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,6600
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4900,10000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,1500
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4900,4900
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,10000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,25000,7799.999999
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,1000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,500
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,4200,8500
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,37000,5000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,45000,
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,43000,
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,300,600
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,500
2009,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,4000
2008,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,3400
2009,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,1000
2017,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1200,1500
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,230000,920000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,115000,28000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,63000,3800
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,115000,
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,6000,3400
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,6000
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,10000,40000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1600,6600
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2000
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,500,1000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1300,1500
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1300,1500
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,3000
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2900,5700
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1300,2500
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1800,3500
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2600,5200
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2600,9500
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1300,5100
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,15000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,700,3000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,700,3000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,1400
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30000,60000
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,5000,10000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1300,2000
2019,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,900
2017,Flow battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2000,2000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,7000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,4100
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2500,2500
2017,Flow battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,2400,8000
2015,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,1300
2016,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,
2017,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,1300
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1200,3200
2011,Lead-acid battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,800,
2018,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1500,3000
2021,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,11000,10100
2020,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,3000,12000
